Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name truck; dist_th 4.0; max tp 8693.0; max fp 57314.0; min fn 567.0; max tp_pred_crit 4932.833714647494; max tp_gt_crit 4924.552055734777; max fp_pred_crit 27196.353933539456; min fn_gt_crit 272.4286691022744
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 0.5; max tp 1182.0; max fp 11743.0; min fn 880.0; max tp_pred_crit 707.6221511200949; max tp_gt_crit 701.4834127723325; max fp_pred_crit 5796.167068606484; min fn_gt_crit 361.0618266025266
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 1.0; max tp 1625.0; max fp 11300.0; min fn 437.0; max tp_pred_crit 909.7028998898118; max tp_gt_crit 905.9054366770907; max fp_pred_crit 5594.086319836762; min fn_gt_crit 158.98107783281023
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 2.0; max tp 1899.0; max fp 11026.0; min fn 163.0; max tp_pred_crit 1008.8063735452688; max tp_gt_crit 1009.8206198515131; max fp_pred_crit 5494.982846181301; min fn_gt_crit 59.87760417735217
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 4.0; max tp 1969.0; max fp 10956.0; min fn 93.0; max tp_pred_crit 1036.5456461471927; max tp_gt_crit 1036.4943379663646; max fp_pred_crit 5467.2435735793815; min fn_gt_crit 32.13833157542808
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name trailer; dist_th 0.5; max tp 570.0; max fp 13135.0; min fn 1761.0; max tp_pred_crit 355.95998960648126; max tp_gt_crit 347.0486489276112; max fp_pred_crit 6400.5893936112125; min fn_gt_crit 762.5315557774505
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name trailer; dist_th 1.0; max tp 1182.0; max fp 12523.0; min fn 1149.0; max tp_pred_crit 674.4402966445695; max tp_gt_crit 641.9515286880714; max fp_pred_crit 6082.109086573122; min fn_gt_crit 444.05124873936256
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name trailer; dist_th 2.0; max tp 1635.0; max fp 12070.0; min fn 696.0; max tp_pred_crit 862.9798436658452; max tp_gt_crit 824.1284121534756; max fp_pred_crit 5893.569539551848; min fn_gt_crit 255.51170171808553
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name trailer; dist_th 4.0; max tp 1863.0; max fp 11842.0; min fn 468.0; max tp_pred_crit 939.6237289908355; max tp_gt_crit 894.1692461995381; max fp_pred_crit 5816.925654226856; min fn_gt_crit 178.8678163930956
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name construction_vehicle; dist_th 0.5; max tp 294.0; max fp 17042.0; min fn 1219.0; max tp_pred_crit 161.82732550677295; max tp_gt_crit 164.27025504748912; max fp_pred_crit 8510.034680098552; min fn_gt_crit 668.6130936140108
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name construction_vehicle; dist_th 1.0; max tp 676.0; max fp 16660.0; min fn 837.0; max tp_pred_crit 375.2170997318366; max tp_gt_crit 378.17851851170394; max fp_pred_crit 8296.644905873489; min fn_gt_crit 455.2233193889472
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name construction_vehicle; dist_th 2.0; max tp 959.0; max fp 16377.0; min fn 554.0; max tp_pred_crit 536.8881946605946; max tp_gt_crit 529.3971115570781; max fp_pred_crit 8134.973810944742; min fn_gt_crit 293.5522244601892
